"","lon","lat","alt"
"1",121.54024,24.98298,25
"2",121.53951,24.98034,25
"3",121.54391,24.98746,28
"4",121.54391,24.98746,28
"5",121.54245,24.97937,23
"6",121.51254,24.96305,31
"7",121.53642,24.97933,25
"8",121.54228,24.98042,23
"9",121.48458,24.95095,106
"10",121.51486,24.96731,60
"11",121.53372,24.97349,25
"12",121.5431,24.97433,36
"13",121.53737,24.96515,26
"14",121.51046,24.96108,31
"15",121.53406,24.99156,19
"16",121.54619,24.9824,23
"17",121.54458,24.97744,23
"18",121.53119,24.97544,18
"19",121.54451,24.9675,36
"20",121.54102,24.96772,25
"21",121.51151,24.96314,31
"22",121.54541,24.97528,23
"23",121.54842,24.95204,91
"24",121.54541,24.97528,23
"25",121.53885,24.97353,25
"26",121.51726,24.97542,14
"27",121.54391,24.98085,23
"28",121.53913,24.95593,43
"29",121.53797,24.97419,25
"30",121.54694,24.97563,23
"31",121.49587,24.94826,107
"32",121.53408,24.98281,25
"33",121.53451,24.97349,25
"34",121.54281,24.97841,23
"35",121.54243,24.98419,28
"36",121.51816,25.01459,14
"37",121.51458,24.96386,31
"38",121.54842,24.95204,91
"39",121.54722,24.97201,36
"40",121.54348,24.98203,23
"41",121.50381,24.94155,351
"42",121.50342,24.94297,147
"43",121.53758,24.96305,26
"44",121.54301,24.98748,28
"45",121.54765,24.97445,36
"46",121.54494,24.97015,36
"47",121.54458,24.9703,36
"48",121.53715,24.97563,25
"49",121.49578,24.94684,107
"50",121.49542,24.94925,107
"51",121.53842,24.974,25
"52",121.55282,24.95402,76
"53",121.5175,24.97419,19
"54",121.53737,24.96515,26
"55",121.54348,24.98203,23
"56",121.53009,24.94968,66
"57",121.54059,24.97254,25
"58",121.53711,24.95744,43
"59",121.49542,24.94925,107
"60",121.53438,24.95776,43
"61",121.51471,24.96365,31
"62",121.54516,24.97585,23
"63",121.51254,24.96303,31
"64",121.54765,24.97445,36
"65",121.54915,24.96305,100
"66",121.54329,24.97635,23
"67",121.54089,24.96571,26
"68",121.54067,24.96674,25
"69",121.53805,24.97964,25
"70",121.54391,24.98746,28
"71",121.5431,24.97433,36
"72",121.53715,24.97563,25
"73",121.53913,24.97587,25
"74",121.50381,24.94155,351
"75",121.53762,24.98343,19
"76",121.54842,24.95204,91
"77",121.53767,24.97723,25
"78",121.51237,24.96322,31
"79",121.53381,24.97598,25
"80",121.54887,24.95182,91
"81",121.54765,24.97445,36
"82",121.53964,24.96427,26
"83",121.54252,24.96725,36
"84",121.50831,24.96056,74
"85",121.54464,24.96735,36
"86",121.54413,24.96853,36
"87",121.549,24.9512,91
"88",121.50342,24.94297,147
"89",121.52758,24.98573,13
"90",121.50243,24.94783,147
"91",121.53059,24.9748,17
"92",121.5276,24.98569,13
"93",121.51046,24.96108,31
"94",121.53076,24.9492,66
"95",121.54026,24.9663,26
"96",121.54067,24.96674,25
"97",121.5431,24.97433,36
"98",121.53299,24.97746,18
"99",121.54348,24.98203,23
"100",121.5431,24.97433,36
"101",121.53411,24.98872,19
"102",121.52984,24.97371,17
"103",121.54089,24.96571,26
"104",121.53844,24.95618,43
"105",121.5425,24.96398,100
"106",121.54458,24.97744,23
"107",121.54308,24.97707,23
"108",121.54842,24.95204,91
"109",121.53561,24.9726,25
"110",121.51284,24.96299,31
"111",121.54067,24.96674,25
"112",121.54224,24.97701,23
"113",121.51462,24.96044,31
"114",121.53812,24.96172,26
"115",121.54142,24.98155,25
"116",121.54739,24.98092,23
"117",121.47883,24.94375,79
"118",121.50383,24.93885,351
"119",121.51709,24.96622,25
"120",121.54348,24.98203,23
"121",121.53737,24.96515,26
"122",121.53737,24.96515,26
"123",121.54464,24.98199,23
"124",121.5317,24.9711,17
"125",121.54541,24.97528,23
"126",121.54089,24.96571,26
"127",121.53477,24.97838,25
"128",121.54391,24.98085,23
"129",121.54039,24.96674,25
"130",121.54162,24.98086,25
"131",121.53653,24.98092,25
"132",121.51284,24.96299,31
"133",121.53863,24.97433,25
"134",121.54082,24.9866,19
"135",121.54211,24.96604,100
"136",121.54951,24.96357,100
"137",121.54245,24.97937,23
"138",121.54277,24.96495,100
"139",121.52406,24.97843,14
"140",121.53737,24.96515,26
"141",121.54348,24.98203,23
"142",121.51627,24.97213,60
"143",121.54647,24.97017,36
"144",121.53737,24.96515,26
"145",121.54842,24.95204,91
"146",121.54694,24.97563,23
"147",121.5317,24.9711,17
"148",121.54494,24.97017,36
"149",121.51203,24.93293,277
"150",121.54245,24.97349,36
"151",121.54269,24.96719,36
"152",121.53788,24.98118,25
"153",121.54842,24.95204,91
"154",121.53713,24.95418,43
"155",121.50342,24.94297,147
"156",121.50381,24.94155,351
"157",121.52954,24.94883,66
"158",121.53464,24.97886,25
"159",121.54245,24.97937,23
"160",121.53464,24.97886,25
"161",121.53756,24.95836,26
"162",121.53767,24.97723,25
"163",121.50342,24.94297,147
"164",121.54067,24.96674,25
"165",121.5317,24.9711,17
"166",121.55391,24.97694,24
"167",121.54458,24.97744,23
"168",121.54011,24.97408,25
"169",121.5432,24.96299,100
"170",121.55481,24.95468,76
"171",121.49628,24.94741,107
"172",121.54391,24.98085,23
"173",121.5431,24.97433,36
"174",121.5446,24.98326,23
"175",121.53778,24.9805,25
"176",121.53758,24.97005,25
"177",121.49507,24.94867,107
"178",121.54262,24.97697,23
"179",121.53456,24.99176,16
"180",121.5273,24.97493,17
"181",121.49621,24.94898,107
"182",121.54121,24.98489,19
"183",121.51284,24.96299,31
"184",121.50381,24.94155,351
"185",121.56174,24.95495,86
"186",121.5173,24.97285,19
"187",121.51237,24.96322,31
"188",121.56627,24.95464,86
"189",121.54312,24.97707,23
"190",121.50342,24.94297,147
"191",121.53642,24.97945,25
"192",121.54951,24.97371,36
"193",121.54069,24.9675,25
"194",121.54477,24.98246,23
"195",121.51158,24.93363,389
"196",121.5399,24.95425,43
"197",121.54713,24.981,23
"198",121.54089,24.96881,25
"199",121.54196,24.96628,100
"200",121.5449,24.96945,36
"201",121.54915,24.96305,100
"202",121.54391,24.98746,28
"203",121.53713,24.97559,25
"204",121.54348,24.98203,23
"205",121.54887,24.95182,91
"206",121.51728,24.97289,19
"207",121.53762,24.98343,19
"208",121.53692,24.97503,25
"209",121.54842,24.95204,91
"210",121.54271,24.97347,36
"211",121.54245,24.97937,23
"212",121.53059,24.9748,17
"213",121.52091,24.98672,23
"214",121.5431,24.97433,36
"215",121.51486,24.96731,60
"216",121.54477,24.972,36
"217",121.53559,24.97153,25
"218",121.54119,24.97838,25
"219",121.53737,24.96515,26
"220",121.53655,24.98102,25
"221",121.54265,24.97703,23
"222",121.5276,24.98569,13
"223",121.53743,24.98123,25
"224",121.5276,24.98569,13
